Date,Station,Daily_AQI,Month,Year,Day_of_Week,Season,Lag_1_AQI,Rolling_Mean_3_AQI,Rolling_Mean_7_AQI
2017-11-08,Anand Vihar,382.46153846153845,11,2017,2,Autumn,412.2173913043478,421.3096432552954,415.7736288039083
2017-11-09,Anand Vihar,496.05,11,2017,3,Autumn,382.46153846153845,430.2429765886288,435.64471723928244
2017-11-10,Anand Vihar,434.04347826086956,11,2017,4,Autumn,496.05,437.51833890746934,440.5318808003591
2017-11-11,Anand Vihar,469.2083333333333,11,2017,5,Autumn,434.04347826086956,466.43393719806767,445.0199760384543
2017-11-12,Anand Vihar,389.0833333333333,11,2017,6,Autumn,469.2083333333333,430.7783816425121,436.0448678133461
2017-11-13,Anand Vihar,486.875,11,2017,0,Autumn,389.0833333333333,448.38888888888886,438.56272495620317
2017-11-14,Anand Vihar,448.625,11,2017,1,Autumn,486.875,441.5277777777778,443.763811912725
2017-11-15,Anand Vihar,384.8888888888889,11,2017,2,Autumn,448.625,440.1296296296296,444.1105762594893
2017-11-16,Anand Vihar,403.0416666666667,11,2017,3,Autumn,384.8888888888889,412.1851851851852,430.82367149758454
2017-11-17,Anand Vihar,345.4347826086956,11,2017,4,Autumn,403.0416666666667,377.7884460547504,418.1652864044168
2017-12-01,Anand Vihar,451.4166666666667,12,2017,4,Winter,345.4347826086956,399.96437198067633,415.6236197377502
2017-12-02,Anand Vihar,473.2916666666667,12,2017,5,Winter,451.4166666666667,423.381038647343,427.6533816425121
2017-12-03,Anand Vihar,477.5,12,2017,6,Winter,473.2916666666667,467.4027777777778,426.3140959282264
2017-12-04,Anand Vihar,477.2916666666667,12,2017,0,Winter,477.5,476.0277777777778,430.40933402346445
2017-12-05,Anand Vihar,462.125,12,2017,1,Winter,477.2916666666667,472.3055555555555,441.44306418219463
2017-12-06,Anand Vihar,311.375,12,2017,2,Winter,462.125,416.9305555555555,428.3478260869565
2017-12-07,Anand Vihar,262.625,12,2017,3,Winter,311.375,345.375,416.51785714285717
2017-12-08,Anand Vihar,345.1666666666667,12,2017,4,Winter,262.625,306.3888888888889,401.3392857142857
2017-12-09,Anand Vihar,484.0833333333333,12,2017,5,Winter,345.1666666666667,363.9583333333333,402.88095238095235
2017-12-10,Anand Vihar,465.5416666666667,12,2017,6,Winter,484.0833333333333,431.59722222222223,401.172619047619
2017-12-11,Anand Vihar,426.875,12,2017,0,Winter,465.5416666666667,458.8333333333333,393.97023809523813
2017-12-12,Anand Vihar,288.8333333333333,12,2017,1,Winter,426.875,393.75,369.2142857142857
2017-12-13,Anand Vihar,355.375,12,2017,2,Winter,288.8333333333333,357.02777777777777,375.5
2017-12-14,Anand Vihar,351.5,12,2017,3,Winter,355.375,331.90277777777777,388.19642857142856
2017-12-15,Anand Vihar,365.1111111111111,12,2017,4,Winter,351.5,357.3287037037037,391.0456349206349
2017-12-17,Anand Vihar,293.92857142857144,12,2017,6,Winter,365.1111111111111,336.84656084656086,363.88066893424036
2017-12-18,Anand Vihar,313.0416666666667,12,2017,0,Winter,293.92857142857144,324.0271164021164,342.09495464852614
2017-12-19,Anand Vihar,420.9583333333333,12,2017,1,Winter,313.0416666666667,342.64285714285717,341.249716553288
2017-12-20,Anand Vihar,495.0416666666667,12,2017,2,Winter,420.9583333333333,409.6805555555556,370.70804988662127
2017-12-21,Anand Vihar,494.6666666666667,12,2017,3,Winter,495.0416666666667,470.2222222222222,390.60685941043084
2017-12-22,Anand Vihar,372.625,12,2017,4,Winter,494.6666666666667,454.11111111111114,393.624716553288
2017-12-23,Anand Vihar,335.75,12,2017,5,Winter,372.625,401.01388888888886,389.43027210884355
2017-12-24,Anand Vihar,463.0,12,2017,6,Winter,335.75,390.4583333333333,413.58333333333337
2017-12-25,Anand Vihar,450.375,12,2017,0,Winter,463.0,416.375,433.202380952381
2017-12-26,Anand Vihar,466.4166666666667,12,2017,1,Winter,450.375,459.9305555555556,439.69642857142856
2017-12-27,Anand Vihar,458.4347826086956,12,2017,2,Winter,466.4166666666667,458.40881642512073,434.46687370600415
